unit,uname,utype,ctype,c_first,c_second,isCore,latex_string,description,dim-t,dim-l,dim-m,dim-i,dim-k,dim-n,dim-j,dim-r,dim-c,core
degC,degree Celsius,si,simple,1.00,273.15,FALSE,$\textdegree{}C$',Celsius temperature,0,0,0,0,1,0,0,0,0,k
deg,degree Angle,si,simple,0.017453293,0,FALSE,$\textdegree{}$',degree angle,0,0,0,0,0,0,0,1,0,rad
